订单ID,用户ID,商品ID,下单时间,数量,支付金额,支付方式,订单状态
order_56,user_4619,item_49,2025-06-25 23:16:39,4,717.56,信用卡,已完成
order_57,user_503,item_38,2024-09-02 10:33:45,4,2896.2,信用卡,已完成
order_58,user_3905,item_487,2025-02-18 18:16:30,2,188.7,信用卡,已完成
order_59,user_8661,item_424,2025-03-22 06:30:48,1,784.13,支付宝,已取消
order_60,user_6996,item_384,2024-07-11 06:18:13,3,2869.98,支付宝,已取消
order_61,user_819,item_327,2025-02-13 05:18:22,2,990.2,支付宝,已完成
order_62,user_4211,item_250,2024-09-04 13:22:28,4,3714.04,支付宝,已完成
order_63,user_2225,item_325,2025-04-01 04:25:31,3,970.02,微信,已完成
order_64,user_1303,item_50,2025-01-06 18:56:20,3,2304.33,信用卡,已取消
order_65,user_26,item_152,2025-02-19 08:21:58,3,2299.2,信用卡,已完成
order_66,user_4046,item_129,2024-07-30 20:03:56,1,239.27,信用卡,已完成
order_67,user_2842,item_286,2025-02-25 05:29:54,4,382.24,支付宝,已完成
order_68,user_8950,item_44,2025-05-13 15:02:02,1,143.69,支付宝,已完成
order_69,user_5666,item_244,2025-04-26 13:51:04,4,3766.88,信用卡,已完成
order_70,user_4629,item_444,2024-10-21 15:02:02,2,387.94,微信,已完成
order_71,user_9691,item_109,2024-11-08 17:52:43,4,1359.04,微信,已退款
order_72,user_2195,item_67,2024-12-06 07:00:57,4,2240.24,支付宝,已完成
order_73,user_8070,item_454,2024-06-28 10:14:40,3,96.15,支付宝,已完成
order_74,user_7471,item_93,2025-01-29 05:53:10,3,1290.75,支付宝,已完成
order_75,user_5556,item_229,2024-09-26 03:57:48,3,1837.92,微信,已完成
order_76,user_8539,item_55,2024-09-09 04:18:46,4,3890.04,信用卡,已取消
order_77,user_1528,item_96,2024-08-11 06:54:03,1,693.94,微信,已退款
order_78,user_8624,item_145,2025-01-18 13:27:41,2,20.82,支付宝,已完成
order_79,user_3724,item_18,2024-08-02 19:29:12,1,366.56,信用卡,已完成
order_80,user_3774,item_272,2025-02-22 00:24:35,4,1180.2,信用卡,已取消
order_81,user_8753,item_365,2024-11-14 04:48:47,1,885.23,支付宝,已完成
order_82,user_4879,item_259,2025-05-27 16:53:05,3,2146.44,微信,已取消
order_83,user_4676,item_9,2025-04-18 05:52:40,2,115.82,支付宝,已完成
order_84,user_9632,item_353,2025-01-22 06:13:47,4,1038.72,信用卡,已完成
order_85,user_8241,item_340,2025-01-09 18:16:16,1,488.56,信用卡,已完成
order_86,user_7780,item_386,2024-09-19 19:27:01,3,1388.22,微信,已取消
order_87,user_4005,item_296,2024-12-23 22:27:19,1,171.15,信用卡,已完成
order_88,user_5577,item_270,2025-04-21 19:39:23,4,1720.6,微信,已完成
order_89,user_895,item_328,2025-02-24 22:43:06,1,664.75,微信,已退款
order_90,user_5198,item_479,2025-03-09 17:01:23,3,1626.12,支付宝,已完成
order_91,user_6877,item_437,2024-09-15 11:21:44,4,2802.68,信用卡,已完成
order_92,user_7770,item_331,2024-10-12 00:07:52,3,2350.62,信用卡,已退款
order_93,user_7293,item_211,2024-07-17 06:17:15,3,1877.1,信用卡,已完成
order_94,user_1119,item_341,2024-09-09 21:14:25,1,910.46,信用卡,已退款
order_95,user_8467,item_292,2024-08-09 09:53:38,1,396.12,支付宝,已完成
order_96,user_1285,item_213,2025-05-02 00:37:10,3,2368.44,微信,已取消
order_97,user_4761,item_167,2024-08-23 14:27:20,1,160.65,信用卡,已完成
order_98,user_9598,item_403,2025-03-19 18:34:59,4,579.56,微信,已完成
order_99,user_1881,item_34,2025-05-20 08:15:50,4,3825.24,信用卡,已完成
order_100,user_7180,item_384,2025-06-15 15:17:55,2,1758.66,微信,已完成
order_101,user_5443,item_324,2024-12-27 21:29:48,4,3275.16,信用卡,已完成
order_102,user_4601,item_317,2025-01-05 20:49:22,2,1612.44,支付宝,已完成
order_103,user_9355,item_250,2024-09-03 03:06:20,3,1796.64,支付宝,已完成
order_104,user_3223,item_346,2024-08-27 16:42:57,4,2074.0,信用卡,已退款
order_105,user_6211,item_299,2025-03-13 21:49:50,4,3218.16,支付宝,已完成
order_106,user_9220,item_492,2025-06-19 23:35:04,3,1182.72,信用卡,已取消
order_107,user_7615,item_348,2024-07-13 09:30:54,4,3878.68,信用卡,已完成
order_108,user_9077,item_246,2024-07-17 15:13:20,1,100.13,信用卡,已完成
order_109,user_2215,item_415,2025-03-04 02:11:14,2,150.48,微信,已完成
order_110,user_2021,item_368,2024-11-15 02:10:26,3,1234.68,微信,已完成
order_111,user_4187,item_50,2024-10-15 08:38:33,4,2269.52,微信,已完成
order_112,user_6820,item_209,2024-09-16 01:10:00,2,1195.54,信用卡,已完成
order_113,user_5239,item_94,2024-12-12 11:04:55,3,793.26,微信,已完成
order_114,user_9604,item_166,2024-10-02 06:41:47,1,178.83,支付宝,已完成
order_115,user_9547,item_444,2024-11-03 11:30:01,3,2897.28,微信,已完成
order_116,user_7296,item_204,2025-02-21 04:49:17,1,883.04,微信,已完成
order_117,user_230,item_402,2025-05-05 08:13:29,3,899.43,信用卡,已完成
order_118,user_4345,item_1,2025-06-07 07:47:30,1,919.85,信用卡,已退款
order_119,user_7926,item_264,2025-04-17 04:31:25,1,321.44,微信,已完成
order_120,user_2859,item_338,2024-12-19 15:17:26,3,845.01,支付宝,已取消
order_121,user_4801,item_461,2024-07-13 11:23:48,4,1798.2,信用卡,已完成
order_122,user_6457,item_491,2024-08-06 04:55:25,2,588.0,支付宝,已完成
order_123,user_2106,item_338,2025-04-10 04:50:03,2,575.8,信用卡,已完成
order_124,user_3251,item_265,2024-07-17 00:34:45,2,158.32,微信,已退款
order_125,user_1884,item_177,2025-06-20 19:58:52,3,1006.53,支付宝,已完成
order_126,user_2545,item_238,2025-01-21 08:12:46,4,1404.24,信用卡,已完成
order_127,user_3558,item_93,2024-09-02 23:02:23,4,894.6,支付宝,已完成
order_128,user_3851,item_483,2024-08-27 00:44:25,2,1541.48,支付宝,已完成
order_129,user_7591,item_222,2025-04-27 16:57:53,1,114.86,支付宝,已完成
order_130,user_7931,item_349,2024-07-07 22:33:22,3,1406.73,支付宝,已完成
order_131,user_2132,item_129,2025-01-01 00:44:54,3,439.56,支付宝,已完成
order_132,user_5486,item_394,2025-01-12 14:53:56,2,1530.34,信用卡,已取消
order_133,user_788,item_166,2024-08-10 17:27:13,1,542.54,微信,已完成
order_134,user_4908,item_5,2024-07-24 04:06:25,3,2546.64,信用卡,已完成
order_135,user_9819,item_225,2025-06-09 06:23:28,3,2218.32,微信,已完成
order_136,user_7822,item_241,2024-09-26 00:48:07,4,3632.68,微信,已完成
order_137,user_2988,item_352,2025-04-02 19:36:45,3,55.74,信用卡,已完成
order_138,user_6766,item_404,2024-12-16 09:40:47,3,1603.05,微信,已退款
order_139,user_9771,item_296,2025-02-11 20:04:30,1,373.14,微信,已完成
order_140,user_6461,item_136,2025-02-06 19:25:12,1,658.83,支付宝,已取消
order_141,user_9900,item_212,2024-10-31 05:55:50,2,1004.24,支付宝,已取消
order_142,user_7776,item_140,2024-12-06 09:37:45,2,1725.24,微信,已完成
order_143,user_1477,item_460,2024-09-11 20:08:45,2,1761.2,支付宝,已完成
order_144,user_2790,item_480,2025-04-12 19:00:06,1,413.94,支付宝,已完成
order_145,user_6391,item_189,2025-03-16 12:22:17,3,266.16,支付宝,已完成
order_146,user_4014,item_415,2025-06-10 13:05:22,4,2575.4,信用卡,已完成
order_147,user_5706,item_79,2024-10-31 03:15:08,4,1503.8,微信,已完成
order_148,user_9386,item_434,2024-09-23 23:59:36,3,2735.73,支付宝,已完成
order_149,user_5938,item_453,2025-04-25 04:13:28,1,575.92,支付宝,已完成
order_150,user_6222,item_373,2024-08-08 10:09:40,3,722.16,支付宝,已完成
order_151,user_173,item_374,2024-10-31 07:25:16,4,3925.28,支付宝,已退款
order_152,user_1534,item_389,2024-09-23 02:43:52,2,213.46,信用卡,已完成
order_153,user_2882,item_256,2024-08-03 17:40:21,3,1942.77,信用卡,已完成
order_154,user_9755,item_335,2024-09-26 17:45:06,1,996.05,支付宝,已取消
order_155,user_6325,item_431,2025-04-09 03:57:25,3,1759.59,支付宝,已退款
order_156,user_1180,item_213,2024-12-03 21:19:01,3,2549.79,微信,已完成
order_157,user_4265,item_46,2025-05-30 11:34:35,4,3343.08,信用卡,已完成
order_158,user_9954,item_404,2024-09-12 07:22:19,4,1137.04,微信,已完成
order_159,user_3876,item_344,2024-11-19 11:51:50,4,1068.04,微信,已完成
order_160,user_2885,item_203,2025-06-07 19:46:26,4,2759.56,支付宝,已完成
order_161,user_4885,item_358,2024-09-20 08:22:28,3,743.04,支付宝,已完成
order_162,user_627,item_445,2024-07-25 04:59:42,1,44.45,信用卡,已完成
order_163,user_9915,item_323,2024-12-26 13:35:45,4,3914.64,支付宝,已完成
order_164,user_3567,item_206,2025-02-08 21:06:13,3,2432.67,微信,已完成
order_165,user_3291,item_202,2024-12-31 18:39:20,3,2842.71,支付宝,已完成
order_166,user_1936,item_474,2024-07-17 18:07:41,3,1831.35,微信,已完成
order_167,user_6371,item_40,2025-06-07 11:36:22,3,1093.68,支付宝,已完成
order_168,user_7575,item_262,2024-12-12 22:12:19,4,1723.0,信用卡,已退款
order_169,user_909,item_415,2024-08-21 22:35:57,1,551.16,支付宝,已取消
order_170,user_1772,item_257,2024-09-18 14:27:14,1,540.83,微信,已完成
order_171,user_5963,item_335,2025-06-22 00:11:00,2,625.88,微信,已取消
order_172,user_7806,item_353,2025-02-18 07:58:51,4,400.92,信用卡,已完成
order_173,user_4037,item_344,2024-12-20 08:28:15,4,1654.64,信用卡,已完成
order_174,user_2623,item_477,2024-09-03 19:17:42,1,204.98,支付宝,已退款
order_175,user_2674,item_455,2024-11-24 01:49:43,3,2883.36,信用卡,已完成
order_176,user_8915,item_384,2024-11-18 16:46:54,4,2352.08,支付宝,已完成
order_177,user_1003,item_241,2024-08-18 15:01:54,2,892.72,支付宝,已完成
order_178,user_9712,item_265,2024-12-21 10:05:47,4,2167.2,信用卡,已完成
order_179,user_7770,item_19,2025-04-02 04:52:07,3,1202.55,微信,已退款
order_180,user_9631,item_356,2024-09-10 01:18:13,2,1763.24,信用卡,已完成
order_181,user_9853,item_392,2025-02-27 02:30:44,3,2922.12,微信,已完成
order_182,user_8997,item_361,2024-11-12 21:57:04,3,135.78,微信,已退款
order_183,user_7836,item_482,2024-10-09 09:23:01,4,3727.24,微信,已完成
order_184,user_9403,item_66,2024-09-13 04:23:26,2,1126.5,微信,已完成
order_185,user_1719,item_357,2024-11-04 02:22:58,2,359.96,微信,已退款
order_186,user_8345,item_201,2024-08-15 01:20:53,3,779.1,信用卡,已完成
order_187,user_4290,item_418,2024-07-09 02:47:30,2,145.94,支付宝,已完成
order_188,user_4092,item_33,2025-03-22 11:31:06,2,289.14,支付宝,已完成
order_189,user_8778,item_433,2025-02-02 11:59:54,4,2201.76,支付宝,已完成
order_190,user_7898,item_256,2024-07-19 19:38:34,3,208.41,微信,已完成
order_191,user_9954,item_380,2024-10-13 15:04:08,4,2018.84,微信,已完成
order_192,user_6135,item_89,2024-08-18 15:56:05,3,2138.49,微信,已完成
order_193,user_6778,item_181,2024-08-08 19:15:43,4,1619.4,微信,已完成
order_194,user_5974,item_342,2025-05-23 09:36:52,3,57.45,支付宝,已完成
order_195,user_2542,item_81,2024-12-24 10:44:33,1,987.34,微信,已完成
order_196,user_2125,item_186,2024-12-21 17:54:50,4,2440.6,信用卡,已完成
order_197,user_8033,item_285,2024-12-06 01:46:38,2,1379.42,信用卡,已完成
order_198,user_7163,item_460,2024-09-01 03:21:37,3,967.5,微信,已完成
order_199,user_2480,item_342,2025-04-17 22:31:37,2,632.68,微信,已完成
order_200,user_2906,item_446,2024-11-07 02:00:32,3,588.54,信用卡,已退款
order_201,user_3860,item_409,2024-09-20 00:49:56,4,136.96,支付宝,已退款
order_202,user_7190,item_279,2025-06-05 21:34:44,1,271.17,信用卡,已完成
order_203,user_6137,item_54,2024-10-19 06:45:11,3,900.66,信用卡,已取消
order_204,user_9808,item_180,2025-02-16 01:56:37,2,1219.4,信用卡,已完成
order_205,user_2567,item_249,2024-08-26 13:01:11,3,217.59,支付宝,已完成
order_206,user_8173,item_159,2025-04-29 06:45:34,4,1905.84,支付宝,已完成
order_207,user_5898,item_347,2025-05-01 05:32:05,3,1394.7,支付宝,已完成
order_208,user_2473,item_351,2025-03-01 10:13:56,1,830.09,信用卡,已完成
order_209,user_161,item_389,2025-02-19 03:30:12,4,3146.24,微信,已退款
order_210,user_5791,item_486,2025-06-13 08:14:53,1,270.01,信用卡,已完成
order_211,user_8952,item_270,2024-08-31 15:33:43,1,906.91,微信,已退款
order_212,user_5179,item_246,2025-02-06 04:07:51,4,2032.76,支付宝,已完成
order_213,user_5745,item_420,2025-01-27 07:42:16,2,444.98,微信,已完成
order_214,user_8896,item_174,2025-05-24 16:51:49,1,807.91,微信,已完成
order_215,user_8680,item_164,2024-09-23 20:37:45,4,2880.2,微信,已完成
order_216,user_9111,item_288,2024-07-30 05:38:52,4,1729.32,信用卡,已取消
order_217,user_9741,item_250,2024-12-03 12:56:05,2,1696.2,支付宝,已取消
order_218,user_4156,item_134,2025-05-25 11:13:22,3,1590.54,支付宝,已完成
order_219,user_3476,item_302,2025-01-15 06:53:10,1,265.92,支付宝,已完成
order_220,user_8980,item_396,2025-01-02 15:26:52,4,2003.04,支付宝,已完成
order_221,user_6294,item_425,2025-05-27 11:55:34,1,685.9,信用卡,已完成
order_222,user_5415,item_391,2024-09-18 17:02:23,2,455.74,微信,已退款
order_223,user_4921,item_120,2025-02-11 09:34:55,1,943.18,支付宝,已完成
order_224,user_9406,item_381,2024-12-27 12:53:09,4,2908.72,支付宝,已退款
order_225,user_7857,item_102,2025-05-17 16:57:06,1,669.06,信用卡,已取消
order_226,user_2560,item_76,2024-12-23 08:54:41,4,1449.64,信用卡,已完成
order_227,user_2790,item_457,2024-10-13 01:42:35,4,1721.72,信用卡,已完成
order_228,user_1217,item_474,2024-07-02 06:50:03,3,2237.7,支付宝,已完成
order_229,user_7945,item_112,2025-04-06 03:54:26,4,2060.56,支付宝,已完成
order_230,user_8172,item_454,2024-12-09 21:55:35,4,1568.0,微信,已完成
order_231,user_824,item_161,2025-04-08 13:19:58,3,1457.58,支付宝,已退款
order_232,user_9836,item_60,2025-05-31 12:51:21,2,178.36,支付宝,已完成
order_233,user_64,item_466,2024-09-30 10:37:55,4,1727.4,支付宝,已完成
order_234,user_6828,item_385,2024-09-30 21:36:18,3,1810.11,微信,已完成
order_235,user_9236,item_443,2024-10-31 18:16:04,3,867.99,支付宝,已完成
order_236,user_4419,item_39,2024-12-12 07:08:24,3,190.17,支付宝,已退款
order_237,user_7388,item_250,2025-02-06 16:40:22,3,121.41,微信,已退款
order_238,user_6188,item_210,2024-09-21 00:37:42,1,158.05,微信,已完成
order_239,user_5196,item_385,2025-06-08 00:02:16,3,1457.76,信用卡,已完成
order_240,user_1526,item_286,2025-06-21 20:23:08,1,110.02,支付宝,已完成
order_241,user_3799,item_249,2025-02-11 11:21:35,2,1500.88,支付宝,已完成
order_242,user_7229,item_105,2024-08-23 12:08:48,4,1035.68,信用卡,已完成
order_243,user_8585,item_180,2025-06-16 12:27:35,2,1667.54,支付宝,已取消
order_244,user_9759,item_260,2025-02-04 10:55:38,2,1712.14,信用卡,已完成
order_245,user_5935,item_463,2025-06-10 11:57:43,4,1564.8,支付宝,已完成
order_246,user_8770,item_58,2024-06-28 14:58:30,3,653.37,支付宝,已退款
order_247,user_9846,item_136,2024-12-05 21:33:52,4,2957.16,支付宝,已完成
order_248,user_3984,item_223,2024-07-13 19:50:52,2,1349.3,信用卡,已完成
order_249,user_7847,item_174,2024-07-12 05:01:21,4,1042.72,支付宝,已完成
order_250,user_4550,item_248,2024-12-26 10:26:56,4,691.0,微信,已完成
order_251,user_1301,item_81,2025-04-07 12:08:35,2,158.84,微信,已完成
order_252,user_8442,item_141,2025-04-21 03:34:45,1,135.91,支付宝,已完成
order_253,user_1192,item_197,2025-01-08 11:17:07,2,1085.38,信用卡,已完成
order_254,user_9221,item_281,2024-07-09 17:00:53,3,786.51,信用卡,已完成
order_255,user_8074,item_192,2024-12-08 23:26:17,3,1486.62,信用卡,已取消
order_256,user_3620,item_276,2025-01-18 22:03:42,2,834.6,微信,已完成
order_257,user_9743,item_417,2024-11-26 18:58:43,3,2123.25,微信,已完成
order_258,user_979,item_15,2024-12-29 18:45:45,4,3895.84,支付宝,已完成
order_259,user_4697,item_164,2025-05-07 02:45:12,1,285.78,支付宝,已完成
order_260,user_3771,item_225,2025-05-02 13:42:39,2,691.16,支付宝,已完成
order_261,user_4660,item_187,2025-03-24 04:55:47,2,1627.72,微信,已完成
order_262,user_1101,item_291,2025-05-11 14:38:18,4,1263.08,信用卡,已完成
order_263,user_3030,item_156,2024-08-03 17:04:02,1,441.49,支付宝,已完成
order_264,user_7690,item_441,2024-12-19 08:42:28,3,1431.12,微信,已退款
order_265,user_9996,item_97,2025-01-05 00:02:23,1,125.87,微信,已完成
order_266,user_907,item_453,2024-09-28 01:22:41,3,290.7,支付宝,已完成
order_267,user_6093,item_104,2024-07-28 22:07:03,4,1392.44,微信,已取消
order_268,user_7739,item_189,2025-01-29 13:07:27,4,268.84,支付宝,已退款
order_269,user_9590,item_421,2025-04-15 02:51:02,2,1262.56,信用卡,已完成
order_270,user_6488,item_293,2024-07-01 11:26:21,4,1771.64,微信,已完成
order_271,user_1967,item_374,2025-03-22 20:21:59,4,131.68,信用卡,已完成
order_272,user_8608,item_1,2025-04-06 20:23:28,4,2046.8,支付宝,已完成
order_273,user_5329,item_392,2024-12-01 13:36:13,1,166.25,信用卡,已完成
order_274,user_9045,item_334,2024-09-19 07:36:58,1,765.98,微信,已完成
order_275,user_7801,item_403,2024-08-17 04:36:50,4,1382.4,微信,已完成
order_276,user_6962,item_481,2024-11-12 20:13:54,3,2976.3,微信,已完成
order_277,user_7682,item_478,2024-10-19 12:36:54,2,1510.58,支付宝,已完成
order_278,user_8446,item_329,2024-09-27 11:52:17,4,1682.8,信用卡,已完成
order_279,user_6305,item_224,2025-03-05 04:05:33,1,526.72,支付宝,已完成
order_280,user_9329,item_256,2024-07-31 21:18:32,2,263.36,支付宝,已完成
order_281,user_5489,item_167,2024-07-02 20:07:42,1,609.29,微信,已完成
order_282,user_906,item_387,2024-12-29 23:32:59,3,2541.87,信用卡,已完成
order_283,user_5961,item_143,2025-03-13 11:30:44,2,1248.18,信用卡,已完成
order_284,user_2302,item_361,2024-10-23 00:55:54,1,712.22,信用卡,已完成
order_285,user_9991,item_484,2024-08-28 11:45:37,1,761.83,信用卡,已退款
order_286,user_446,item_396,2025-03-26 18:55:17,3,1743.84,信用卡,已完成
order_287,user_7233,item_476,2024-12-22 00:28:29,3,733.32,信用卡,已完成
order_288,user_2418,item_94,2025-05-25 20:03:44,4,3971.52,支付宝,已完成
order_289,user_8468,item_230,2025-02-03 03:58:58,4,3873.36,微信,已完成
order_290,user_3893,item_198,2025-04-12 20:51:55,3,2639.25,微信,已完成
order_291,user_1285,item_156,2025-02-08 07:45:18,2,845.06,信用卡,已完成
order_292,user_1984,item_256,2024-07-06 03:11:55,4,1342.88,微信,已完成
order_293,user_3331,item_164,2024-12-20 07:04:19,2,1687.02,信用卡,已完成
order_294,user_7247,item_395,2024-12-23 18:12:39,1,349.61,微信,已完成
order_295,user_5173,item_327,2025-04-22 09:40:20,4,2635.44,信用卡,已完成
order_296,user_9672,item_451,2024-08-19 11:43:01,2,1032.84,信用卡,已完成
order_297,user_8291,item_18,2025-06-01 03:46:27,3,2009.91,信用卡,已完成
order_298,user_8108,item_4,2025-03-26 17:20:26,4,2032.16,支付宝,已完成
order_299,user_3285,item_392,2024-12-01 01:52:52,1,800.29,信用卡,已完成
order_300,user_5974,item_2,2024-09-06 11:28:04,1,58.67,微信,已完成
order_301,user_7819,item_174,2025-04-29 09:39:55,4,1223.84,微信,已完成
order_302,user_6078,item_112,2025-05-31 03:06:00,4,998.04,微信,已完成
order_303,user_394,item_380,2024-11-17 12:13:03,1,91.84,支付宝,已完成
order_304,user_745,item_98,2025-02-25 01:57:00,4,2940.52,支付宝,已完成
order_305,user_2977,item_230,2024-12-23 23:11:56,3,1550.7,微信,已完成
order_306,user_1750,item_274,2025-03-27 00:29:28,2,889.28,支付宝,已完成
order_307,user_9057,item_125,2025-02-27 15:23:09,1,70.69,支付宝,已完成
order_308,user_3001,item_424,2024-06-27 04:21:31,1,475.59,支付宝,已取消
order_309,user_5466,item_267,2025-05-26 18:59:46,3,458.19,微信,已完成
order_310,user_9122,item_450,2025-02-25 06:33:18,4,1948.08,微信,已完成
order_311,user_9397,item_492,2024-07-24 02:36:26,2,1989.22,微信,已完成
order_312,user_7752,item_115,2024-11-23 02:59:00,1,73.85,微信,已完成
order_313,user_6982,item_2,2025-06-08 15:03:40,4,454.84,信用卡,已完成
order_314,user_8671,item_19,2025-03-21 21:54:40,2,1021.36,支付宝,已完成
order_315,user_6685,item_18,2024-11-02 22:33:31,2,1674.42,信用卡,已完成
order_316,user_8223,item_472,2025-01-18 20:11:05,2,1238.94,微信,已退款
order_317,user_8453,item_218,2024-07-09 08:34:00,2,1452.74,微信,已完成
order_318,user_3260,item_83,2024-10-19 20:04:03,1,423.82,信用卡,已完成
order_319,user_6780,item_173,2024-12-09 01:20:43,3,1372.56,微信,已退款
order_320,user_7877,item_244,2025-04-15 01:04:24,1,356.73,支付宝,已退款
order_321,user_9243,item_180,2024-10-09 10:16:04,3,2157.57,支付宝,已完成
order_322,user_5360,item_125,2025-03-24 17:59:33,4,2699.2,支付宝,已完成
order_323,user_5218,item_2,2025-02-19 12:34:26,1,917.64,信用卡,已完成
order_324,user_7241,item_343,2025-01-23 07:30:36,2,242.76,支付宝,已退款
order_325,user_5797,item_67,2025-02-05 01:10:29,3,2386.5,微信,已完成
order_326,user_5378,item_92,2025-05-01 04:43:38,3,1139.49,信用卡,已取消
order_327,user_8736,item_384,2024-09-15 02:23:35,1,819.24,信用卡,已完成
order_328,user_8981,item_258,2025-04-28 13:28:07,1,448.48,微信,已完成
order_329,user_5246,item_277,2025-03-19 13:11:26,1,915.01,支付宝,已完成
order_330,user_3461,item_78,2024-07-28 02:14:29,3,2436.99,支付宝,已完成
order_331,user_5895,item_150,2025-02-22 14:42:37,2,34.4,支付宝,已完成
order_332,user_8625,item_24,2025-06-03 17:44:24,2,1402.28,微信,已完成
order_333,user_1871,item_482,2024-11-04 00:32:59,3,1215.99,微信,已完成
order_334,user_6060,item_44,2025-04-08 09:26:10,4,1118.96,微信,已完成
order_335,user_4964,item_377,2025-06-23 16:47:08,2,365.8,信用卡,已完成
order_336,user_6210,item_208,2024-07-17 22:31:49,4,1995.64,微信,已完成
order_337,user_7015,item_61,2025-01-12 13:20:25,3,1807.74,信用卡,已取消
order_338,user_5625,item_45,2025-06-15 01:30:06,3,986.58,信用卡,已完成
order_339,user_7156,item_196,2025-03-15 15:52:12,2,1885.62,微信,已完成
order_340,user_273,item_146,2024-11-15 00:17:10,1,943.92,信用卡,已完成
