用户ID,行为时间,商品ID,行为类型,流量来源,设备类型
user_1953,2025-02-20 17:48:32,item_120,下单,活动,平板
user_5471,2024-11-24 07:08:41,item_56,下单,自然流量,电脑
user_8039,2025-05-18 04:24:55,item_228,浏览,广告,平板
user_7780,2024-12-15 09:09:11,item_117,浏览,广告,平板
user_6331,2025-02-17 05:08:27,item_90,浏览,自然流量,平板
user_2949,2024-09-14 10:45:50,item_137,浏览,广告,手机
user_3954,2024-11-18 11:53:51,item_415,浏览,自然流量,手机
user_7583,2024-08-21 18:37:58,item_141,加购,活动,电脑
user_1673,2025-03-26 20:20:14,item_105,加购,广告,电脑
user_1267,2024-07-26 16:40:03,item_66,浏览,活动,电脑
user_1936,2025-02-15 00:56:29,item_267,加购,广告,手机
user_8561,2025-05-17 16:29:32,item_449,浏览,活动,电脑
user_4429,2025-03-25 02:08:15,item_283,浏览,广告,手机
user_9779,2025-03-19 00:15:55,item_244,加购,广告,电脑
user_1671,2024-11-20 07:44:05,item_231,加购,活动,平板
user_5807,2024-08-31 01:04:45,item_476,收藏,活动,手机
user_5943,2025-04-28 16:59:34,item_74,加购,广告,平板
user_7423,2024-11-30 13:15:37,item_6,下单,广告,电脑
user_5390,2024-09-15 02:14:55,item_232,浏览,广告,手机
user_7228,2024-09-19 06:53:17,item_487,浏览,活动,手机
user_5903,2024-10-26 16:18:52,item_411,浏览,活动,平板
user_7249,2024-11-10 20:19:17,item_92,加购,自然流量,手机
user_6408,2024-11-30 23:28:32,item_3,收藏,活动,平板
user_9102,2024-10-11 02:50:06,item_400,浏览,自然流量,手机
user_9786,2024-10-01 06:18:45,item_449,浏览,自然流量,平板
user_6915,2025-03-31 07:18:52,item_107,收藏,广告,平板
user_3797,2024-10-17 12:58:17,item_88,收藏,广告,平板
user_7938,2025-06-10 13:50:01,item_465,加购,活动,电脑
user_244,2024-09-24 07:45:01,item_462,收藏,自然流量,手机
user_2306,2024-11-21 00:19:24,item_456,加购,广告,电脑
user_6757,2025-02-14 20:06:51,item_435,收藏,广告,手机
user_6956,2025-06-02 12:41:25,item_396,浏览,广告,电脑
user_4388,2024-12-26 01:41:28,item_174,加购,活动,手机
user_482,2024-07-06 01:55:01,item_245,浏览,自然流量,平板
user_9623,2025-03-20 06:13:09,item_428,浏览,广告,平板
user_5797,2025-06-24 20:57:18,item_133,加购,自然流量,手机
user_8354,2025-01-31 10:04:12,item_299,浏览,自然流量,平板
user_4213,2024-09-29 10:34:22,item_248,浏览,自然流量,平板
user_6962,2025-03-04 07:55:57,item_50,浏览,活动,电脑
user_1953,2025-03-24 13:34:26,item_417,收藏,活动,电脑
user_715,2024-07-21 18:38:57,item_468,加购,活动,平板
user_2083,2024-12-19 06:53:06,item_36,浏览,活动,手机
user_2120,2025-03-30 13:56:22,item_367,收藏,广告,手机
user_6242,2025-05-03 09:07:37,item_191,浏览,广告,手机
user_8321,2024-07-05 03:34:42,item_480,加购,广告,平板
user_196,2024-11-24 16:10:42,item_168,浏览,自然流量,电脑
user_2702,2025-02-03 15:52:24,item_64,浏览,广告,电脑
user_3044,2024-11-07 16:59:53,item_219,加购,自然流量,手机
user_3659,2024-11-13 06:37:23,item_398,加购,活动,手机
user_1073,2024-11-21 14:33:18,item_76,浏览,广告,平板
user_7917,2024-07-04 14:40:03,item_193,收藏,广告,平板
user_3177,2025-01-03 07:42:14,item_417,浏览,活动,平板
user_9696,2024-12-13 02:11:00,item_11,收藏,活动,平板
user_4991,2025-04-03 21:28:52,item_364,加购,活动,电脑
user_9199,2024-12-16 14:24:08,item_192,浏览,活动,平板
user_6188,2025-06-14 17:53:43,item_305,收藏,活动,手机
user_3444,2024-12-08 08:53:58,item_435,浏览,活动,手机
user_2762,2024-07-31 09:29:04,item_146,加购,广告,手机
user_2716,2024-12-13 12:09:40,item_299,加购,自然流量,手机
user_5473,2024-10-03 15:43:43,item_110,浏览,广告,电脑
user_3645,2024-11-08 21:23:16,item_431,加购,自然流量,电脑
user_1161,2024-09-23 09:57:09,item_464,浏览,活动,平板
user_5415,2024-10-09 04:02:38,item_395,加购,自然流量,电脑
user_7889,2024-11-16 00:33:33,item_265,收藏,自然流量,电脑
user_1009,2025-06-15 16:21:49,item_432,浏览,活动,电脑
user_6861,2024-10-05 13:42:39,item_181,浏览,广告,平板
user_4029,2024-12-29 11:52:42,item_264,浏览,活动,手机
user_3762,2024-08-27 01:13:50,item_87,浏览,活动,手机
user_8984,2024-08-31 02:34:14,item_194,浏览,活动,手机
user_5856,2024-09-19 18:09:04,item_82,加购,自然流量,电脑
user_7241,2025-05-24 04:12:53,item_212,浏览,广告,电脑
user_2767,2025-02-09 00:51:13,item_415,加购,自然流量,手机
user_5512,2025-03-04 03:34:03,item_211,加购,自然流量,平板
user_4325,2025-01-13 12:01:13,item_140,收藏,活动,电脑
user_8910,2025-02-14 07:42:50,item_298,浏览,广告,手机
user_820,2025-01-18 20:20:09,item_131,下单,广告,平板
user_6768,2025-05-07 06:43:14,item_444,浏览,自然流量,电脑
user_7352,2024-09-10 15:49:07,item_271,下单,活动,电脑
user_6668,2025-05-21 04:01:54,item_62,加购,活动,平板
user_2398,2024-07-10 17:55:36,item_292,浏览,活动,平板
user_9135,2024-11-21 18:57:54,item_408,浏览,活动,手机
user_8917,2024-11-15 05:42:16,item_35,浏览,广告,手机
user_7996,2024-07-15 06:50:27,item_324,浏览,活动,手机
user_1895,2025-04-18 01:58:55,item_493,浏览,广告,平板
user_8972,2024-09-23 10:10:13,item_194,加购,自然流量,手机
user_6954,2024-07-31 14:15:11,item_117,浏览,自然流量,电脑
user_1870,2025-03-28 06:20:26,item_370,浏览,自然流量,电脑
user_3971,2025-06-17 07:59:18,item_41,加购,广告,电脑
user_2959,2024-08-27 07:20:24,item_466,收藏,自然流量,手机
user_8532,2024-08-01 12:39:45,item_118,浏览,广告,平板
user_4521,2025-02-20 16:03:28,item_492,浏览,广告,手机
user_8826,2025-03-23 16:26:00,item_247,浏览,广告,电脑
user_138,2025-01-27 08:20:31,item_443,浏览,广告,平板
user_86,2024-07-16 02:17:20,item_146,浏览,活动,电脑
user_7754,2024-10-01 21:27:46,item_486,浏览,广告,电脑
user_2935,2024-07-27 10:21:43,item_195,加购,广告,电脑
user_4171,2025-01-16 15:22:10,item_357,浏览,广告,电脑
user_244,2025-06-23 14:36:44,item_403,收藏,活动,手机
user_846,2024-10-03 17:46:31,item_428,下单,活动,平板
user_4579,2024-12-19 14:51:16,item_178,加购,广告,电脑
user_3429,2024-08-23 12:42:09,item_473,加购,活动,手机
user_8610,2024-10-18 12:01:51,item_356,浏览,活动,手机
user_205,2024-08-20 15:46:24,item_304,浏览,自然流量,平板
user_9225,2025-05-26 01:27:03,item_153,收藏,活动,电脑
user_3634,2024-12-12 22:28:22,item_77,加购,自然流量,电脑
user_8574,2024-10-12 19:34:55,item_133,收藏,广告,手机
user_6599,2025-05-30 22:02:17,item_211,收藏,自然流量,电脑
user_5951,2025-06-17 09:02:29,item_292,浏览,自然流量,手机
user_3372,2024-09-06 21:28:52,item_210,收藏,自然流量,平板
user_9501,2024-09-23 14:54:35,item_459,浏览,自然流量,手机
user_9933,2024-12-02 16:07:59,item_476,浏览,广告,手机
user_3186,2024-10-25 15:57:20,item_310,下单,自然流量,手机
user_7661,2024-08-30 08:44:29,item_355,浏览,活动,平板
user_6131,2025-01-14 19:08:04,item_402,浏览,活动,平板
user_2403,2024-07-22 14:04:23,item_49,收藏,广告,电脑
user_7209,2024-09-24 16:19:36,item_267,浏览,活动,平板
user_6580,2025-05-31 05:30:28,item_350,浏览,自然流量,手机
user_8806,2024-08-01 11:40:35,item_202,浏览,广告,电脑
user_7103,2025-02-22 19:16:20,item_295,收藏,自然流量,手机
user_7305,2024-07-16 21:41:22,item_16,浏览,自然流量,手机
user_8915,2025-02-04 00:45:06,item_404,加购,活动,电脑
user_7566,2025-03-07 21:10:01,item_361,收藏,广告,电脑
user_9192,2025-04-26 18:40:35,item_204,浏览,活动,平板
user_394,2025-04-27 05:30:32,item_271,浏览,活动,电脑
user_3909,2025-05-31 05:40:24,item_388,浏览,自然流量,手机
user_9397,2025-05-29 06:52:33,item_369,浏览,活动,电脑
user_9075,2025-04-10 11:09:14,item_344,收藏,自然流量,电脑
user_4487,2024-09-02 23:33:53,item_2,收藏,活动,平板
user_9825,2024-10-16 14:16:04,item_483,加购,广告,电脑
user_7388,2025-01-25 10:48:21,item_451,收藏,广告,手机
user_9177,2024-12-26 06:40:51,item_192,浏览,活动,平板
user_6852,2024-12-08 00:45:18,item_90,浏览,自然流量,平板
user_7410,2025-06-09 04:55:34,item_264,加购,自然流量,平板
user_5188,2024-08-30 20:50:03,item_272,浏览,自然流量,手机
user_8830,2024-09-26 09:36:49,item_356,加购,广告,电脑
user_2328,2024-07-03 07:47:40,item_377,下单,广告,电脑
user_6935,2025-05-06 08:13:33,item_306,浏览,活动,平板
user_2798,2024-09-10 12:46:07,item_102,加购,广告,电脑
user_8687,2025-02-15 16:36:27,item_352,浏览,活动,电脑
user_8695,2025-03-30 08:54:03,item_246,浏览,自然流量,电脑
user_7466,2024-07-26 13:46:59,item_35,浏览,活动,平板
user_5592,2024-07-22 19:41:43,item_233,浏览,自然流量,平板
user_4272,2025-04-22 19:00:18,item_207,浏览,自然流量,手机
user_6045,2024-08-05 01:47:35,item_92,浏览,活动,平板
user_3056,2024-10-09 03:19:17,item_187,收藏,活动,手机
user_2156,2025-05-10 01:20:28,item_498,收藏,活动,手机
user_5426,2025-04-26 19:04:33,item_45,收藏,活动,手机
user_8768,2024-09-04 01:32:18,item_43,收藏,广告,平板
user_3048,2025-01-20 00:27:15,item_380,加购,活动,电脑
user_6536,2024-08-13 20:41:30,item_399,收藏,自然流量,手机
user_815,2025-04-25 05:00:27,item_37,浏览,自然流量,平板
user_4338,2024-12-23 06:48:25,item_140,下单,自然流量,手机
user_7971,2025-01-27 14:04:14,item_322,浏览,自然流量,手机
user_8341,2025-04-18 03:22:49,item_112,加购,自然流量,平板
user_8735,2024-11-16 22:19:51,item_314,收藏,广告,手机
user_8120,2025-04-03 12:26:25,item_253,加购,活动,平板
user_8742,2024-09-04 03:20:27,item_164,下单,活动,电脑
user_5880,2024-08-24 23:05:21,item_79,加购,广告,电脑
user_4725,2025-01-19 21:41:43,item_472,浏览,广告,平板
user_8006,2025-06-23 15:55:02,item_450,浏览,活动,平板
user_7701,2024-09-07 04:48:48,item_302,收藏,活动,手机
user_3482,2024-09-30 01:14:25,item_76,收藏,活动,平板
user_4895,2025-04-28 06:09:58,item_287,浏览,广告,手机
user_312,2024-06-30 01:10:18,item_5,浏览,广告,平板
user_9318,2024-10-31 01:19:19,item_376,加购,活动,手机
user_5789,2025-05-24 20:37:22,item_138,浏览,活动,平板
user_3440,2024-09-01 08:53:23,item_90,下单,活动,平板
user_9459,2025-04-20 06:32:41,item_305,浏览,广告,平板
user_5366,2024-10-10 10:01:03,item_162,浏览,广告,电脑
user_2818,2025-01-11 23:26:49,item_209,收藏,自然流量,电脑
user_7423,2025-05-08 12:12:28,item_434,收藏,广告,电脑
user_8776,2024-07-04 16:45:14,item_302,加购,广告,平板
user_753,2025-01-07 04:29:49,item_100,收藏,广告,手机
user_6405,2025-01-08 14:01:12,item_69,收藏,广告,平板
user_8525,2025-06-09 04:08:42,item_477,浏览,自然流量,平板
user_1225,2024-07-18 17:31:46,item_411,下单,广告,平板
user_7368,2024-11-26 14:11:00,item_447,收藏,活动,平板
user_5108,2024-08-18 01:27:55,item_240,下单,活动,平板
user_3929,2024-08-30 12:12:47,item_433,浏览,活动,电脑
user_2986,2024-07-15 10:15:06,item_194,浏览,广告,平板
user_501,2024-12-25 19:40:08,item_320,浏览,活动,手机
user_2076,2024-08-26 04:49:46,item_271,浏览,活动,平板
user_572,2025-05-21 09:56:47,item_291,加购,自然流量,手机
user_5605,2024-08-17 00:41:23,item_331,浏览,广告,手机
user_4084,2024-09-28 14:33:29,item_158,下单,广告,电脑
user_1613,2025-05-27 07:09:56,item_76,浏览,活动,电脑
user_7914,2025-02-18 03:39:07,item_277,浏览,自然流量,电脑
user_8405,2025-05-16 15:42:03,item_184,浏览,广告,平板
user_235,2024-11-16 06:06:55,item_485,浏览,自然流量,平板
user_4583,2025-02-04 12:27:12,item_122,收藏,广告,电脑
user_3998,2025-04-26 19:12:18,item_335,收藏,自然流量,电脑
user_6859,2024-10-13 02:41:57,item_136,收藏,自然流量,手机
user_648,2024-12-23 05:34:39,item_117,加购,活动,手机
user_5785,2024-09-30 02:34:02,item_465,下单,活动,手机
user_1679,2024-12-20 08:02:07,item_334,收藏,活动,电脑
user_4823,2024-09-02 16:07:06,item_125,收藏,活动,手机
user_6961,2025-03-29 11:16:40,item_328,浏览,活动,平板
user_4922,2024-08-08 07:46:07,item_402,浏览,活动,手机
user_8821,2025-03-30 17:17:43,item_398,收藏,活动,电脑
user_3044,2024-10-01 01:10:41,item_46,浏览,广告,电脑
user_5471,2024-08-28 14:24:28,item_245,收藏,广告,电脑
user_399,2025-03-02 06:08:58,item_486,浏览,广告,电脑
user_826,2025-02-17 00:04:41,item_436,下单,自然流量,电脑
user_3179,2025-04-15 16:13:30,item_92,收藏,广告,平板
user_4443,2024-07-13 01:39:59,item_270,加购,自然流量,电脑
user_2690,2024-07-22 16:49:25,item_488,下单,广告,平板
user_8540,2024-11-20 05:30:19,item_433,浏览,广告,电脑
user_1263,2024-08-18 10:22:05,item_383,浏览,活动,手机
user_5999,2024-06-26 20:59:34,item_206,加购,自然流量,平板
user_6407,2024-10-16 04:34:11,item_482,收藏,自然流量,电脑
user_4119,2024-12-22 14:21:41,item_274,浏览,自然流量,平板
user_8354,2025-01-18 01:17:20,item_193,浏览,广告,电脑
user_4677,2025-05-02 21:21:32,item_73,浏览,活动,手机
user_9286,2025-01-02 22:22:27,item_88,浏览,活动,手机
user_343,2025-03-16 18:38:35,item_353,加购,广告,手机
user_8125,2025-04-15 13:50:51,item_435,浏览,广告,手机
user_6143,2024-11-27 01:28:23,item_260,加购,活动,电脑
user_2827,2025-01-26 08:57:47,item_176,加购,自然流量,手机
user_7324,2025-01-22 22:30:18,item_151,浏览,活动,手机
user_1715,2025-04-04 16:38:55,item_426,下单,自然流量,手机
user_9286,2024-11-30 12:15:18,item_163,收藏,自然流量,手机
user_6562,2025-06-06 19:47:49,item_243,浏览,广告,平板
user_9899,2025-01-16 13:28:35,item_254,浏览,自然流量,平板
user_2804,2024-12-24 20:51:51,item_23,浏览,广告,电脑
user_5008,2025-03-05 01:25:05,item_67,浏览,活动,平板
user_3839,2025-01-14 11:11:41,item_329,浏览,活动,电脑
user_5434,2024-11-11 02:33:59,item_277,浏览,自然流量,电脑
user_4579,2025-04-28 01:17:07,item_2,浏览,广告,平板
user_8919,2025-02-16 19:28:39,item_444,浏览,活动,手机
user_349,2025-02-05 22:04:35,item_308,收藏,自然流量,电脑
user_5518,2025-04-01 15:12:37,item_52,浏览,活动,电脑
user_5883,2025-05-17 22:54:17,item_77,收藏,自然流量,手机
user_4240,2025-04-13 16:02:03,item_181,加购,自然流量,平板
user_4123,2024-12-01 00:22:24,item_83,浏览,活动,电脑
user_3424,2025-04-14 13:21:35,item_246,浏览,活动,平板
user_9991,2024-10-02 07:08:39,item_206,浏览,自然流量,手机
user_4206,2025-01-15 22:44:47,item_301,下单,广告,平板
user_8793,2025-06-25 11:54:39,item_352,收藏,活动,手机
user_2015,2024-12-01 23:29:08,item_55,收藏,活动,手机
user_9684,2024-08-30 11:13:39,item_231,收藏,广告,手机
user_7017,2025-01-08 01:22:12,item_316,浏览,自然流量,手机
user_7407,2025-05-25 20:06:22,item_352,浏览,广告,平板
user_6937,2025-01-06 17:26:20,item_201,浏览,活动,手机
user_9308,2024-08-14 16:17:21,item_15,浏览,自然流量,电脑
user_1734,2025-05-05 05:17:21,item_268,下单,自然流量,平板
user_913,2024-07-10 19:04:35,item_119,浏览,自然流量,手机
user_3682,2024-09-15 00:01:52,item_364,浏览,活动,手机
user_1742,2024-07-25 03:56:43,item_395,收藏,自然流量,手机
user_2380,2025-02-14 14:10:23,item_383,加购,广告,平板
user_1854,2024-11-16 09:00:31,item_247,收藏,自然流量,平板
user_5123,2025-05-19 15:09:15,item_200,浏览,活动,电脑
user_1886,2024-10-20 13:19:52,item_141,加购,活动,平板
user_8590,2024-08-10 12:31:26,item_35,浏览,活动,手机
user_3010,2025-02-16 09:01:31,item_17,收藏,自然流量,平板
user_7681,2025-06-12 19:04:44,item_348,浏览,活动,电脑
user_5842,2024-12-03 19:36:59,item_264,浏览,自然流量,手机
user_7151,2024-11-22 05:28:50,item_77,收藏,自然流量,平板
user_8218,2024-11-19 15:42:09,item_305,加购,广告,平板
user_4904,2024-10-20 23:21:30,item_19,浏览,广告,手机
user_6776,2024-11-18 18:04:16,item_171,收藏,自然流量,平板
user_8208,2024-07-05 22:11:15,item_422,浏览,自然流量,手机
user_1607,2024-10-26 19:25:19,item_500,浏览,广告,手机
user_9893,2025-01-01 20:52:58,item_32,加购,自然流量,电脑
user_6390,2024-09-11 19:41:36,item_472,浏览,广告,平板
user_907,2025-04-14 01:03:27,item_432,加购,广告,手机
user_4130,2024-07-02 21:09:59,item_168,下单,广告,手机
user_8480,2024-09-18 08:54:38,item_456,收藏,自然流量,平板
user_841,2024-12-12 19:09:09,item_316,浏览,自然流量,平板
user_8310,2025-04-23 15:50:37,item_186,浏览,活动,电脑
user_1548,2025-03-01 14:28:05,item_458,浏览,广告,平板
user_7940,2025-04-14 01:23:39,item_415,浏览,广告,电脑
user_5814,2024-08-22 19:22:26,item_269,收藏,广告,手机
user_104,2024-12-18 09:23:50,item_472,下单,自然流量,平板
user_4698,2025-05-28 15:52:14,item_179,加购,活动,平板
user_2551,2025-02-10 22:51:15,item_249,浏览,广告,平板
user_6925,2025-04-29 15:52:08,item_88,加购,广告,平板
user_7795,2025-04-17 07:46:08,item_274,浏览,广告,电脑
user_7314,2025-04-13 14:56:04,item_432,浏览,广告,平板
user_7756,2024-08-19 23:05:58,item_284,收藏,自然流量,电脑
user_6358,2025-03-05 17:25:54,item_110,收藏,自然流量,手机
user_9898,2025-04-30 22:01:58,item_200,浏览,活动,手机
user_1551,2024-10-21 22:13:58,item_261,浏览,活动,电脑
user_8759,2024-11-27 13:59:55,item_393,收藏,自然流量,电脑
user_4422,2024-09-29 14:28:37,item_431,收藏,广告,平板
user_9581,2024-08-20 22:07:25,item_220,浏览,活动,平板
user_8017,2024-07-03 00:18:10,item_328,浏览,活动,电脑
user_9765,2025-06-11 08:57:01,item_493,加购,活动,手机
user_3126,2024-09-22 20:06:29,item_456,浏览,活动,电脑
user_323,2025-06-12 14:24:16,item_405,加购,活动,电脑
user_995,2024-12-14 03:40:04,item_171,收藏,自然流量,电脑
user_5808,2024-10-02 21:02:00,item_259,浏览,活动,电脑
user_9474,2025-01-01 16:43:41,item_332,加购,自然流量,手机
user_6053,2024-11-28 16:49:39,item_59,浏览,广告,手机
user_8385,2024-12-24 18:20:12,item_22,下单,自然流量,电脑
user_8842,2025-03-30 12:16:03,item_354,加购,活动,手机
user_2170,2024-12-24 07:40:14,item_271,加购,自然流量,平板
user_997,2024-11-17 22:54:18,item_132,浏览,自然流量,手机
user_9815,2025-06-04 08:03:30,item_239,加购,活动,手机
user_9627,2024-09-14 03:31:12,item_102,加购,自然流量,电脑
user_9172,2024-12-23 13:54:40,item_154,收藏,自然流量,平板
user_4788,2024-08-16 07:11:46,item_9,收藏,活动,手机
user_4072,2024-12-05 03:11:08,item_437,浏览,自然流量,电脑
user_550,2024-07-16 14:13:49,item_285,收藏,自然流量,平板
user_2893,2024-09-29 22:37:31,item_275,浏览,自然流量,手机
user_8783,2024-08-22 04:09:22,item_285,浏览,活动,平板
user_5407,2025-06-10 00:39:24,item_207,浏览,广告,平板
user_8691,2025-03-02 05:05:38,item_218,收藏,自然流量,手机
user_6222,2025-06-20 00:16:17,item_112,收藏,广告,平板
user_5508,2024-08-04 23:41:30,item_266,浏览,自然流量,平板
user_4141,2024-10-19 09:08:41,item_282,加购,自然流量,电脑
user_9141,2024-11-18 21:54:48,item_435,浏览,活动,平板
user_5067,2024-07-17 06:45:24,item_33,下单,广告,平板
user_1898,2024-11-09 19:03:32,item_43,浏览,活动,手机
user_3302,2024-12-24 06:35:46,item_53,加购,自然流量,平板
user_3710,2025-06-14 19:47:48,item_25,收藏,活动,平板
user_8303,2024-11-23 18:37:10,item_206,加购,自然流量,平板
user_7912,2025-06-06 03:31:17,item_253,浏览,自然流量,电脑
user_3062,2025-03-07 10:04:35,item_180,收藏,活动,手机
user_9309,2025-05-31 08:19:47,item_302,浏览,活动,手机
user_3898,2024-12-11 23:03:53,item_14,浏览,活动,电脑
user_6899,2024-07-26 23:48:43,item_314,浏览,广告,平板
user_8084,2025-02-13 23:36:59,item_157,收藏,自然流量,电脑
user_5303,2024-10-18 19:28:15,item_55,加购,自然流量,电脑
user_5965,2024-11-11 10:23:07,item_55,收藏,活动,电脑
user_4651,2025-05-11 12:48:05,item_466,浏览,广告,平板
user_2912,2025-01-11 17:04:05,item_7,浏览,活动,手机
user_4025,2025-01-26 20:59:45,item_151,收藏,自然流量,手机
user_2833,2024-12-28 22:37:06,item_144,浏览,自然流量,平板
user_3898,2024-07-12 09:21:48,item_93,加购,自然流量,平板
user_7657,2025-06-24 08:56:48,item_350,浏览,自然流量,平板
user_9845,2025-05-29 23:51:28,item_132,浏览,广告,手机
user_7214,2025-05-21 15:53:16,item_428,浏览,活动,电脑
user_5918,2024-12-29 20:31:33,item_267,浏览,广告,平板
user_6282,2024-07-22 23:10:37,item_333,浏览,活动,电脑
user_7774,2024-11-10 13:01:22,item_496,浏览,自然流量,手机
user_1810,2024-11-02 09:00:31,item_213,浏览,活动,平板
user_6544,2024-09-09 19:00:23,item_487,浏览,广告,手机
user_6982,2024-10-25 04:14:36,item_446,浏览,活动,电脑
user_4653,2025-06-19 17:10:27,item_363,浏览,自然流量,平板
user_8885,2025-01-09 10:35:54,item_300,收藏,活动,平板
user_615,2024-08-30 02:22:18,item_317,浏览,广告,手机
user_4903,2024-06-30 22:41:58,item_397,浏览,自然流量,手机
user_5998,2024-08-04 23:51:30,item_381,加购,活动,平板
user_9023,2024-08-22 07:53:56,item_468,收藏,活动,电脑
user_100,2025-04-11 17:22:44,item_137,浏览,活动,手机
user_5403,2025-03-29 19:37:40,item_309,浏览,自然流量,电脑
user_8266,2025-01-30 18:02:52,item_258,收藏,活动,手机
user_746,2024-10-09 08:34:58,item_59,加购,自然流量,平板
user_6724,2024-07-19 21:50:08,item_381,浏览,广告,电脑
user_1367,2024-07-06 05:42:56,item_197,收藏,活动,手机
user_4034,2025-01-10 12:35:43,item_176,收藏,广告,平板
user_7016,2024-09-19 14:01:21,item_479,浏览,自然流量,手机
user_9306,2025-02-26 13:57:39,item_397,浏览,活动,手机
user_1963,2025-01-15 00:34:08,item_258,浏览,自然流量,平板
user_6671,2024-11-17 20:06:09,item_20,加购,广告,电脑
user_5891,2024-07-06 00:38:53,item_415,浏览,自然流量,平板
user_7379,2024-12-17 18:39:15,item_284,下单,自然流量,平板
user_5548,2024-11-30 07:43:17,item_482,加购,广告,电脑
user_2275,2024-11-03 09:08:08,item_392,收藏,广告,电脑
user_9516,2025-05-02 18:18:43,item_177,收藏,自然流量,电脑
user_5653,2025-02-19 16:32:00,item_473,加购,活动,手机
user_5536,2024-12-22 09:52:17,item_112,浏览,广告,电脑
user_8121,2024-11-08 09:13:51,item_178,加购,广告,平板
user_5107,2025-02-23 02:59:23,item_390,加购,活动,平板
user_7955,2024-10-31 11:15:55,item_418,浏览,广告,手机
user_5013,2024-10-15 07:21:44,item_94,浏览,自然流量,手机
user_4970,2024-11-16 13:21:16,item_144,收藏,活动,平板
user_889,2024-07-16 10:13:24,item_88,收藏,活动,电脑
user_556,2025-05-03 19:35:49,item_363,下单,广告,手机
user_2377,2025-01-13 10:24:53,item_492,浏览,活动,手机
user_8324,2025-02-09 02:02:00,item_248,加购,广告,平板
user_5328,2024-08-13 12:52:02,item_302,下单,自然流量,平板
user_6393,2025-06-04 18:46:24,item_286,收藏,广告,平板
user_1884,2024-12-13 21:48:45,item_131,下单,自然流量,电脑
user_9596,2025-04-17 05:18:39,item_202,加购,活动,手机
user_1453,2025-01-01 23:38:05,item_187,加购,活动,平板
user_9152,2024-12-11 23:18:20,item_168,浏览,自然流量,平板
user_1672,2025-04-19 05:17:09,item_274,下单,广告,平板
user_2442,2025-01-12 06:12:41,item_185,加购,广告,电脑
user_319,2024-07-10 16:38:46,item_162,收藏,广告,平板
user_5451,2025-03-12 10:12:04,item_266,加购,自然流量,平板
user_1659,2025-04-25 07:19:28,item_324,浏览,活动,电脑
user_2432,2025-01-25 11:16:59,item_471,浏览,广告,手机
user_843,2025-04-05 15:17:36,item_312,浏览,广告,平板
user_9900,2025-04-13 12:15:01,item_53,收藏,广告,电脑
user_6693,2025-02-01 14:25:06,item_428,收藏,广告,平板
user_618,2025-01-09 03:25:24,item_27,浏览,自然流量,手机
user_2740,2024-07-22 18:49:45,item_361,收藏,广告,平板
user_6067,2024-08-25 04:47:16,item_411,收藏,自然流量,平板
user_8716,2025-06-23 23:21:01,item_81,加购,活动,平板
user_7961,2025-05-12 22:31:50,item_53,浏览,广告,电脑
user_8702,2024-11-20 10:09:53,item_181,浏览,活动,电脑
user_8646,2024-11-01 20:53:19,item_202,加购,广告,平板
