用户ID,性别,年龄,注册时间,省份,设备类型,是否会员
user_120,女,22,2024-12-11,浙江,平板,0
user_121,女,43,2024-08-31,浙江,电脑,0
user_122,男,31,2023-12-13,北京,手机,1
user_123,男,56,2024-12-08,上海,平板,1
user_124,男,44,2024-03-03,四川,手机,0
user_125,女,26,2025-04-10,上海,电脑,1
user_126,女,32,2025-02-11,四川,平板,1
user_127,女,32,2025-02-17,上海,平板,1
user_128,女,43,2023-08-08,广东,手机,1
user_129,女,59,2023-12-20,上海,电脑,1
user_130,男,30,2025-03-25,广东,手机,1
user_131,女,49,2023-07-20,广东,平板,0
user_132,男,56,2025-03-12,上海,手机,1
user_133,男,49,2024-02-26,上海,手机,1
user_134,女,21,2024-05-02,广东,平板,1
user_135,女,47,2024-01-19,北京,手机,1
user_136,女,54,2023-08-16,四川,平板,0
user_137,女,40,2023-12-06,浙江,手机,1
user_138,女,56,2025-06-04,浙江,电脑,0
user_139,女,32,2024-09-08,上海,电脑,1
user_140,女,46,2025-05-06,北京,电脑,1
user_141,女,53,2025-01-03,上海,电脑,0
user_142,男,30,2024-02-25,浙江,平板,0
user_143,男,49,2023-12-08,浙江,手机,1
user_144,男,24,2024-11-16,北京,电脑,1
user_145,女,39,2024-07-17,上海,电脑,1
user_146,女,45,2024-04-28,浙江,电脑,1
user_147,女,19,2025-05-13,北京,电脑,0
user_148,男,59,2025-06-05,广东,手机,0
user_149,男,23,2024-11-06,北京,手机,0
user_150,男,45,2024-06-16,四川,手机,0
user_151,男,45,2023-10-14,浙江,平板,0
user_152,男,37,2024-01-17,浙江,平板,1
user_153,女,47,2023-10-12,上海,平板,0
user_154,男,28,2024-01-03,广东,手机,0
user_155,女,45,2025-01-24,四川,平板,1
user_156,女,42,2024-09-04,上海,手机,0
user_157,男,56,2024-08-17,广东,平板,0
user_158,男,50,2024-01-16,广东,平板,1
user_159,女,18,2025-01-26,北京,平板,1
user_160,男,44,2024-09-22,浙江,电脑,0
user_161,女,30,2024-05-23,广东,平板,1
user_162,男,58,2025-05-23,浙江,手机,1
user_163,女,20,2024-09-21,浙江,电脑,1
user_164,女,56,2024-05-01,上海,手机,1
user_165,女,23,2024-04-02,上海,电脑,1
user_166,女,25,2023-12-13,北京,电脑,1
user_167,男,44,2023-10-11,浙江,手机,1
user_168,女,26,2024-07-25,广东,电脑,1
user_169,男,54,2024-07-13,四川,手机,0
user_170,男,50,2023-09-04,浙江,电脑,0
user_171,女,59,2025-02-02,浙江,电脑,0
user_172,男,41,2023-08-01,广东,手机,1
user_173,男,32,2025-04-24,广东,平板,1
user_174,女,49,2023-09-19,四川,平板,1
user_175,女,49,2023-10-22,四川,电脑,1
user_176,女,41,2024-10-25,广东,电脑,1
user_177,男,58,2023-10-28,北京,平板,0
user_178,女,29,2025-03-02,北京,平板,0
user_179,男,56,2024-12-05,上海,平板,1
user_180,女,19,2024-05-18,四川,平板,1
user_181,男,20,2024-10-01,上海,电脑,0
user_182,女,54,2023-08-14,上海,电脑,0
user_183,男,34,2024-04-19,广东,手机,0
user_184,女,19,2024-04-17,上海,平板,1
user_185,男,19,2024-09-30,北京,平板,1
user_186,女,45,2024-06-23,浙江,电脑,1
user_187,男,40,2024-08-09,北京,电脑,1
user_188,男,54,2024-01-07,北京,电脑,1
user_189,男,49,2024-08-28,四川,平板,0
user_190,男,50,2025-04-24,上海,平板,1
user_191,男,18,2023-07-04,上海,手机,1
user_192,男,36,2024-12-05,四川,电脑,1
user_193,女,19,2025-01-05,广东,平板,1
user_194,女,43,2023-09-22,四川,平板,0
user_195,男,49,2024-12-06,上海,平板,0
user_196,女,23,2025-05-13,北京,手机,0
user_197,男,49,2024-08-16,四川,手机,0
user_198,男,21,2025-01-29,浙江,电脑,1
user_199,女,28,2024-01-19,北京,手机,1
user_200,女,34,2025-02-11,浙江,手机,0
user_201,女,55,2024-11-04,四川,平板,0
user_202,女,41,2024-03-16,北京,平板,0
user_203,男,22,2023-09-20,广东,手机,0
user_204,男,51,2024-02-08,上海,电脑,1
user_205,女,23,2024-05-28,北京,电脑,1
user_206,女,39,2023-10-26,广东,平板,1
user_207,女,28,2024-06-12,北京,平板,0
user_208,女,33,2023-06-28,广东,平板,1
user_209,男,50,2025-01-06,北京,手机,0
user_210,女,26,2025-05-06,四川,手机,0
user_211,女,23,2025-01-04,四川,平板,1
user_212,女,33,2024-01-16,上海,平板,1
user_213,女,46,2024-07-18,北京,电脑,1
user_214,女,20,2025-02-06,广东,电脑,0
user_215,男,37,2023-11-11,广东,电脑,1
user_216,女,53,2024-07-24,浙江,平板,0
user_217,女,36,2025-06-03,北京,电脑,1
user_218,女,43,2023-09-16,北京,电脑,0
user_219,女,20,2025-05-02,浙江,手机,0
user_220,女,36,2024-10-23,四川,电脑,1
user_221,男,37,2024-02-12,上海,电脑,0
user_222,女,49,2025-04-09,浙江,平板,1
user_223,男,24,2024-11-03,北京,平板,0
user_224,男,58,2024-07-24,广东,平板,0
user_225,女,50,2024-10-11,北京,手机,0
user_226,女,57,2023-11-27,北京,平板,0
user_227,女,56,2023-10-22,广东,平板,1
user_228,女,35,2024-04-11,浙江,电脑,0
user_229,女,57,2025-02-07,四川,手机,1
user_230,男,18,2023-10-29,四川,平板,0
user_231,男,28,2024-08-17,广东,电脑,1
user_232,女,45,2025-02-19,北京,电脑,1
user_233,女,42,2025-06-11,上海,电脑,1
user_234,女,40,2024-08-10,广东,平板,1
user_235,女,48,2025-06-08,广东,手机,0
user_236,女,47,2023-06-26,上海,电脑,0
user_237,女,59,2024-10-03,浙江,平板,1
user_238,女,52,2024-03-03,上海,电脑,0
user_239,男,24,2024-07-09,四川,平板,1
user_240,男,33,2023-07-11,浙江,手机,1
user_241,男,43,2023-09-20,上海,电脑,0
user_242,男,19,2025-06-16,浙江,电脑,1
user_243,女,18,2024-04-02,北京,电脑,1
user_244,女,29,2025-05-08,浙江,平板,0
user_245,男,22,2025-04-01,上海,平板,1
user_246,男,54,2025-03-13,北京,电脑,0
user_247,男,49,2024-02-19,浙江,手机,1
user_248,男,26,2023-12-28,北京,电脑,0
user_249,女,58,2023-08-09,广东,电脑,1
user_250,男,52,2023-12-30,上海,平板,1
user_251,男,36,2025-05-07,上海,手机,0
user_252,女,33,2024-09-08,四川,平板,0
user_253,女,20,2023-08-26,四川,手机,0
user_254,女,37,2023-08-31,广东,电脑,1
user_255,男,41,2025-01-14,浙江,电脑,0
user_256,男,50,2024-07-07,浙江,电脑,1
user_257,女,41,2025-03-20,广东,电脑,1
user_258,男,28,2023-08-18,浙江,电脑,0
user_259,男,25,2025-02-05,浙江,平板,1
user_260,女,53,2024-08-12,广东,手机,1
user_261,女,55,2025-02-09,北京,平板,0
user_262,女,57,2023-10-01,广东,手机,1
user_263,男,37,2023-10-03,上海,平板,1
user_264,男,52,2024-11-19,北京,平板,0
user_265,女,42,2024-06-29,浙江,手机,1
user_266,男,52,2024-08-26,北京,电脑,1
user_267,女,42,2023-11-01,上海,手机,0
user_268,女,46,2024-01-17,四川,平板,1
user_269,男,35,2024-08-08,广东,电脑,1
user_270,女,35,2025-05-03,北京,电脑,0
user_271,男,19,2024-10-09,上海,平板,1
user_272,女,52,2024-05-19,北京,电脑,0
user_273,女,33,2023-12-07,四川,手机,1
user_274,女,58,2025-06-16,广东,平板,1
user_275,女,53,2024-08-17,北京,平板,0
user_276,女,50,2025-02-01,北京,平板,1
user_277,男,21,2025-01-12,北京,平板,1
user_278,女,50,2024-12-12,浙江,手机,0
user_279,男,31,2023-11-29,北京,电脑,1
user_280,男,38,2024-12-30,北京,手机,0
user_281,女,37,2024-02-23,浙江,电脑,1
user_282,男,25,2024-04-30,浙江,平板,0
user_283,女,24,2024-11-28,四川,电脑,1
user_284,男,20,2024-11-11,广东,手机,1
user_285,女,34,2024-04-11,上海,电脑,0
user_286,女,50,2024-05-31,四川,平板,1
user_287,男,29,2025-05-24,浙江,电脑,0
user_288,男,39,2024-08-01,浙江,手机,0
user_289,男,39,2024-06-10,北京,电脑,0
user_290,男,47,2023-09-27,四川,手机,0
user_291,男,55,2024-01-04,四川,手机,0
user_292,女,55,2023-12-17,上海,平板,0
user_293,女,25,2023-08-14,上海,手机,1
user_294,男,44,2024-03-14,北京,平板,0
user_295,男,44,2023-07-12,北京,电脑,0
user_296,女,51,2024-09-24,北京,手机,1
user_297,男,38,2024-08-29,上海,平板,1
user_298,男,47,2023-12-21,北京,电脑,1
user_299,女,50,2024-09-25,四川,平板,0
user_300,女,45,2023-12-14,四川,手机,0
user_301,女,50,2023-07-01,浙江,平板,0
user_302,男,22,2023-08-20,浙江,电脑,1
user_303,男,36,2024-12-26,浙江,平板,1
user_304,男,21,2024-10-28,北京,电脑,0
user_305,男,52,2023-08-10,上海,电脑,1
user_306,女,34,2023-12-20,四川,平板,1
user_307,女,45,2023-08-17,四川,平板,1
user_308,男,47,2025-05-29,北京,平板,0
user_309,女,46,2023-07-20,浙江,手机,1
user_310,女,23,2025-04-23,浙江,电脑,1
user_311,男,52,2024-03-08,广东,电脑,1
user_312,女,58,2023-08-20,广东,手机,1
user_313,男,54,2024-07-29,北京,手机,0
user_314,女,41,2023-12-27,北京,平板,1
user_315,男,46,2024-01-28,四川,手机,1
user_316,男,48,2024-11-26,浙江,电脑,1
user_317,男,52,2024-07-07,广东,平板,1
user_318,女,50,2023-12-09,北京,平板,0
user_319,男,38,2024-08-17,浙江,手机,0
user_320,女,49,2023-10-06,四川,电脑,0
user_321,女,40,2025-01-07,四川,手机,1
user_322,男,50,2025-06-21,四川,平板,1
user_323,男,20,2025-05-11,上海,电脑,1
user_324,女,35,2024-09-11,广东,手机,0
user_325,男,42,2024-09-15,四川,平板,1
user_326,男,59,2024-06-27,上海,平板,0
user_327,男,48,2023-12-31,四川,手机,1
user_328,女,20,2025-02-24,浙江,电脑,0
user_329,女,57,2024-06-27,广东,平板,1
user_330,男,41,2025-03-14,北京,手机,0
user_331,男,49,2024-05-07,北京,电脑,1
user_332,女,39,2023-11-20,浙江,平板,1
user_333,女,40,2023-09-07,广东,手机,0
user_334,女,19,2023-09-09,浙江,手机,1
user_335,女,44,2024-11-18,四川,平板,1
user_336,男,59,2024-05-25,上海,电脑,0
user_337,男,19,2024-03-27,上海,电脑,0
user_338,男,43,2024-05-20,广东,电脑,1
user_339,男,34,2024-05-10,北京,电脑,1
user_340,男,57,2024-06-22,上海,电脑,0
user_341,女,50,2025-04-26,北京,电脑,0
user_342,女,26,2025-01-12,北京,电脑,0
user_343,女,56,2023-08-07,四川,电脑,1
user_344,女,46,2024-11-30,广东,手机,1
user_345,男,59,2024-11-14,广东,手机,1
user_346,女,43,2024-11-08,北京,电脑,0
user_347,男,52,2023-09-10,浙江,平板,1
user_348,男,42,2023-08-12,浙江,电脑,1
user_349,男,41,2024-05-03,广东,手机,0
user_350,男,30,2025-01-11,四川,平板,0
user_351,女,24,2024-03-15,广东,平板,0
user_352,男,53,2025-03-08,北京,手机,1
user_353,男,37,2025-04-25,上海,平板,0
user_354,男,18,2023-09-18,上海,平板,1
user_355,女,25,2024-01-05,四川,平板,1
user_356,女,33,2023-11-21,广东,手机,1
user_357,男,31,2023-11-20,浙江,电脑,1
user_358,女,29,2024-08-15,四川,手机,1
user_359,男,40,2024-06-08,广东,电脑,1
user_360,男,32,2023-10-12,北京,电脑,1
user_361,男,45,2024-05-18,北京,平板,1
user_362,女,51,2023-11-15,四川,平板,0
user_363,女,19,2024-01-28,四川,平板,0
user_364,女,49,2024-06-19,四川,电脑,0
user_365,男,40,2024-01-06,浙江,手机,1
user_366,男,39,2025-05-05,四川,平板,0
user_367,男,42,2025-06-12,上海,平板,1
user_368,女,39,2023-08-23,四川,平板,0
user_369,女,39,2024-06-04,广东,电脑,1
user_370,女,59,2025-03-14,广东,平板,0
user_371,女,23,2025-04-25,北京,电脑,0
user_372,女,32,2025-04-20,广东,电脑,0
user_373,女,54,2024-08-26,北京,平板,0
user_374,女,50,2023-09-10,广东,平板,1
user_375,男,25,2023-08-04,四川,平板,0
user_376,女,22,2024-11-13,四川,电脑,1
user_377,男,56,2024-08-18,四川,手机,1
user_378,女,21,2025-04-05,北京,电脑,1
user_379,男,23,2023-07-07,上海,电脑,1
user_380,男,49,2023-09-06,上海,手机,0
user_381,男,47,2025-06-14,广东,手机,0
user_382,女,52,2025-01-31,四川,手机,1
user_383,男,57,2025-04-15,上海,手机,0
user_384,女,33,2023-12-26,北京,电脑,1
user_385,男,30,2023-11-02,浙江,平板,1
user_386,女,59,2024-05-06,上海,平板,0
user_387,女,47,2024-07-07,浙江,手机,1
user_388,女,36,2024-07-03,浙江,电脑,1
user_389,女,34,2023-12-09,上海,手机,0
user_390,女,36,2025-04-27,北京,平板,1
user_391,女,45,2024-05-02,四川,手机,0
user_392,女,43,2025-05-26,北京,手机,1
user_393,女,54,2023-08-10,四川,手机,1
user_394,男,43,2023-10-31,上海,电脑,1
user_395,男,40,2024-04-15,浙江,手机,1
user_396,女,26,2023-06-27,上海,电脑,0
user_397,女,29,2024-04-24,上海,手机,1
user_398,男,18,2024-01-17,广东,手机,0
user_399,男,18,2025-06-14,广东,电脑,0
user_400,女,51,2025-02-24,浙江,平板,0
user_401,男,49,2025-02-24,北京,电脑,0
user_402,男,42,2024-06-13,四川,平板,1
user_403,男,57,2024-02-02,广东,手机,1
user_404,男,18,2024-05-19,北京,手机,1
user_405,女,33,2024-12-18,北京,手机,1
user_406,男,56,2025-01-13,四川,平板,0
user_407,男,22,2025-02-23,广东,电脑,0
user_408,女,39,2024-08-30,上海,平板,1
user_409,男,46,2024-11-21,北京,平板,1
user_410,男,20,2025-01-04,四川,平板,0
user_411,女,29,2024-07-08,浙江,手机,1
user_412,女,43,2023-10-24,广东,平板,0
user_413,女,33,2023-11-20,北京,电脑,0
user_414,男,54,2024-02-11,四川,平板,1
user_415,男,39,2023-12-12,北京,电脑,1
user_416,男,46,2023-08-10,浙江,平板,1
user_417,男,31,2024-09-17,上海,手机,1
user_418,男,45,2025-01-17,广东,手机,0
user_419,男,22,2024-08-20,北京,电脑,1
user_420,女,47,2023-08-12,四川,电脑,1
user_421,男,22,2025-01-26,上海,电脑,1
user_422,男,29,2024-02-24,广东,电脑,0
user_423,女,33,2023-08-09,浙江,电脑,1
user_424,女,43,2023-08-03,广东,手机,1
user_425,女,43,2024-09-21,广东,平板,1
user_426,男,38,2024-06-30,浙江,手机,1
user_427,男,56,2024-07-20,四川,电脑,1
user_428,男,53,2025-06-09,北京,电脑,1
user_429,女,50,2025-04-18,浙江,平板,1
user_430,男,47,2024-08-11,浙江,电脑,1
user_431,男,54,2023-10-26,广东,平板,1
user_432,女,40,2023-08-09,北京,手机,1
user_433,女,27,2024-07-24,四川,平板,0
user_434,男,22,2023-08-27,上海,平板,1
user_435,男,53,2025-04-17,上海,手机,0
user_436,女,51,2023-11-17,广东,电脑,0
user_437,男,48,2023-08-18,浙江,电脑,1
user_438,女,27,2024-09-30,北京,平板,0
user_439,女,36,2023-08-17,浙江,电脑,1
user_440,男,49,2024-12-01,北京,手机,0
user_441,女,18,2025-04-25,四川,电脑,0
user_442,女,22,2023-12-25,广东,平板,1
user_443,男,21,2024-05-04,四川,电脑,1
user_444,男,33,2023-09-27,北京,手机,0
user_445,女,41,2025-05-17,上海,平板,1
user_446,男,33,2024-09-10,广东,平板,1
user_447,男,19,2024-01-03,四川,平板,1
user_448,女,45,2024-09-17,上海,平板,0
user_449,女,49,2024-09-29,四川,手机,0
user_450,男,44,2023-07-26,上海,手机,1
user_451,男,37,2024-10-19,广东,平板,1
user_452,女,41,2023-08-28,四川,手机,0
user_453,男,29,2024-05-16,广东,电脑,1
user_454,女,52,2024-11-17,浙江,平板,0
user_455,男,50,2024-09-21,广东,平板,0
user_456,女,50,2024-09-07,浙江,平板,1
user_457,男,54,2024-08-05,四川,平板,0
user_458,男,29,2024-02-26,浙江,平板,0
user_459,男,20,2025-06-21,四川,手机,1
user_460,男,18,2024-01-14,上海,电脑,0
user_461,女,50,2023-12-01,四川,电脑,0
user_462,女,57,2024-11-27,上海,平板,1
user_463,男,27,2025-01-02,广东,平板,0
user_464,男,46,2024-02-25,四川,平板,0
user_465,男,30,2023-12-28,四川,平板,1
user_466,男,29,2024-01-18,北京,手机,0
user_467,女,48,2024-04-28,上海,平板,1
user_468,男,19,2023-10-05,浙江,平板,1
user_469,女,52,2024-11-28,浙江,手机,1
user_470,女,40,2024-11-08,浙江,手机,0
user_471,男,34,2024-02-14,浙江,电脑,1
user_472,女,43,2024-06-15,上海,电脑,0
user_473,女,25,2024-02-26,广东,平板,1
user_474,女,46,2025-06-16,上海,电脑,0
user_475,女,43,2025-01-29,上海,电脑,0
user_476,女,27,2025-06-21,浙江,手机,0
user_477,男,43,2023-08-21,北京,电脑,1
user_478,女,51,2023-07-03,上海,手机,1
user_479,女,58,2024-06-15,上海,手机,1
user_480,女,24,2024-10-20,浙江,电脑,1
user_481,男,21,2024-09-05,北京,电脑,1
user_482,男,28,2023-09-11,上海,平板,1
user_483,男,46,2023-08-21,北京,电脑,1
user_484,女,53,2024-08-16,广东,平板,0
user_485,男,42,2023-12-08,浙江,手机,1
user_486,女,38,2024-07-22,浙江,电脑,0
user_487,女,53,2024-01-17,北京,平板,0
user_488,女,27,2023-10-06,四川,电脑,0
user_489,女,54,2025-06-19,四川,电脑,1
user_490,男,26,2024-03-23,上海,手机,1
user_491,女,41,2025-05-10,广东,平板,1
user_492,男,52,2023-08-18,上海,平板,1
user_493,男,52,2025-05-08,北京,手机,0
user_494,女,53,2024-01-01,浙江,平板,1
user_495,男,35,2024-04-08,四川,平板,0
user_496,女,56,2024-02-02,四川,电脑,0
user_497,女,49,2023-10-26,四川,平板,1
user_498,女,41,2024-05-31,四川,平板,1
user_499,女,40,2025-04-03,浙江,手机,1
user_500,女,49,2024-08-20,北京,电脑,1
user_501,男,54,2024-12-23,四川,电脑,1
user_502,男,29,2024-02-15,北京,平板,1
user_503,男,30,2024-10-13,四川,平板,1
user_504,男,40,2025-03-13,上海,手机,0
user_505,男,42,2024-11-14,北京,电脑,1
user_506,女,52,2024-08-09,上海,电脑,0
user_507,女,58,2023-07-02,四川,平板,1
user_508,男,47,2024-11-25,上海,平板,0
user_509,女,34,2025-03-21,浙江,平板,1
user_510,女,37,2024-08-29,上海,电脑,1
user_511,女,42,2024-02-13,广东,平板,1
user_512,男,39,2025-06-18,上海,电脑,1
user_513,男,30,2024-11-22,广东,电脑,0
user_514,女,36,2023-09-14,广东,电脑,1
user_515,女,53,2025-06-24,广东,手机,1
user_516,女,29,2025-05-08,广东,手机,1
user_517,男,58,2023-10-08,广东,平板,0
user_518,女,36,2024-01-17,浙江,平板,1
user_519,女,29,2023-09-23,上海,手机,1
user_520,女,26,2025-05-17,上海,手机,0
user_521,男,24,2023-09-17,北京,平板,0
user_522,男,45,2025-01-22,北京,手机,1
user_523,女,31,2024-08-28,浙江,手机,0
user_524,男,48,2023-10-24,四川,手机,1
user_525,女,36,2024-01-23,浙江,平板,0
user_526,女,33,2024-01-30,广东,电脑,0
user_527,男,22,2024-10-07,四川,手机,0
user_528,男,52,2023-12-06,浙江,手机,0
user_529,女,29,2025-01-03,浙江,手机,1
user_530,男,42,2024-03-18,北京,电脑,0
user_531,女,38,2023-12-01,广东,电脑,1
user_532,男,53,2024-12-10,四川,电脑,1
user_533,男,40,2024-10-30,北京,电脑,0
user_534,女,33,2025-04-18,广东,平板,0
user_535,男,56,2024-01-17,广东,电脑,0
user_536,男,59,2024-07-22,四川,平板,1
user_537,女,56,2024-07-09,四川,电脑,0
user_538,女,31,2024-01-07,北京,手机,0
user_539,女,48,2025-05-29,广东,手机,0
user_540,女,22,2025-05-31,浙江,手机,1
user_541,女,52,2025-04-13,广东,电脑,0
user_542,女,40,2023-08-04,广东,平板,0
user_543,男,46,2023-09-05,北京,电脑,1
user_544,男,28,2024-10-30,浙江,平板,1
user_545,男,35,2024-05-20,广东,电脑,0
user_546,男,29,2025-03-31,上海,电脑,0
user_547,女,26,2024-01-26,四川,电脑,1
user_548,女,27,2023-07-30,四川,平板,0
user_549,男,34,2023-06-28,四川,手机,1
user_550,女,55,2024-03-11,北京,平板,0
user_551,男,24,2025-02-13,四川,平板,0
user_552,男,30,2023-10-05,上海,电脑,1
user_553,男,57,2024-11-01,上海,平板,1
user_554,男,59,2024-01-15,四川,电脑,0
user_555,女,26,2023-10-29,上海,平板,1
user_556,女,44,2025-01-21,四川,手机,1
user_557,女,19,2024-06-03,北京,电脑,1
user_558,男,22,2024-08-27,上海,平板,0
user_559,男,46,2024-12-25,浙江,电脑,0
user_560,男,54,2024-05-23,北京,电脑,0
user_561,女,55,2024-09-03,浙江,手机,0
user_562,女,36,2023-07-03,广东,电脑,1
user_563,女,25,2023-09-20,浙江,手机,0
user_564,女,18,2023-08-23,北京,手机,1
user_565,男,39,2025-05-11,上海,手机,0
user_566,女,34,2024-12-13,浙江,平板,1
user_567,女,24,2025-05-28,上海,手机,1
user_568,女,42,2023-10-19,上海,电脑,0
user_569,男,21,2024-08-22,北京,平板,1
user_570,男,53,2023-07-23,上海,手机,0
user_571,男,23,2025-04-04,四川,手机,1
user_572,男,48,2024-04-07,上海,平板,0
user_573,女,36,2024-09-20,浙江,手机,0
user_574,男,56,2024-08-28,上海,平板,1
user_575,男,44,2023-10-19,四川,电脑,1
user_576,男,27,2024-05-24,广东,手机,0
user_577,女,43,2023-10-02,广东,电脑,0
user_578,男,36,2023-07-28,浙江,平板,1
user_579,男,56,2024-02-20,广东,平板,1
user_580,女,20,2024-04-04,浙江,电脑,0
user_581,女,30,2025-05-24,浙江,手机,1
user_582,男,45,2025-06-19,上海,电脑,0
user_583,女,37,2025-03-05,北京,平板,1
user_584,女,45,2025-04-24,四川,平板,0
user_585,女,25,2023-07-26,上海,电脑,0
user_586,女,58,2025-05-24,北京,电脑,1
user_587,男,56,2024-03-29,四川,平板,0
user_588,男,18,2023-12-06,广东,电脑,0
user_589,男,20,2024-12-06,上海,平板,0
user_590,女,30,2024-01-05,上海,电脑,1
user_591,男,45,2024-11-25,上海,手机,0
user_592,女,42,2023-09-13,上海,平板,0
